date,index_value,daily_return
2022-03-11,2017.0295630718,-0.0208515369
2022-03-14,1959.9824151762,-0.0282827525
2022-03-15,2032.3978173666,0.0369469653
2022-03-16,2125.6643404006,0.0458898953
2022-03-17,2165.1974748249,0.0185980137
2022-03-18,2220.0797498952,0.0253474686
2022-03-21,2196.1033879753,-0.0107997751
2022-03-22,2243.1218459832,0.0214099474
2022-03-23,2204.7634974537,-0.0171004302
2022-03-24,2270.3041205427,0.0297268270
2022-03-25,2259.2722567429,-0.0048592009
2022-03-28,2295.2606937121,0.0159292165
2022-03-29,2343.2404627791,0.0209038429
2022-03-30,2297.2752835731,-0.0196160744
2022-03-31,2261.4057018617,-0.0156139675
2022-04-01,2260.7066967983,-0.0003091020
2022-04-04,2298.5084562542,0.0167212136
2022-04-05,2221.6109863462,-0.0334553783
2022-04-06,2160.2123671892,-0.0276369803
2022-04-07,2169.6152763546,0.0043527707
2022-04-08,2137.2097976648,-0.0149360484
2022-04-11,2091.0780577609,-0.0215850311
2022-04-12,2080.9992162360,-0.0048199260
2022-04-13,2131.5517037476,0.0242924106
2022-04-14,2065.4909627436,-0.0309918548
2022-04-18,2064.9069565389,-0.0002827445
2022-04-19,2118.3652909604,0.0258889798
2022-04-20,2104.1833081317,-0.0066947768
2022-04-21,2036.6272594729,-0.0321055910
2022-04-22,1984.3433819686,-0.0256717950
2022-04-25,2022.9536623905,0.0194574592
2022-04-26,1945.4403568052,-0.0383168962
2022-04-27,1943.6501435535,-0.0009202098
2022-04-28,2036.1046021880,0.0475674385
2022-04-29,1943.5727237497,-0.0454455426
2022-05-02,1977.5244971018,0.0174687435
2022-05-03,1977.4223871148,-0.0000516353
2022-05-04,2041.0450722997,0.0321745549
2022-05-05,1931.9599548458,-0.0534457171
2022-05-06,1889.4847937093,-0.0219855288
2022-05-09,1776.0148492261,-0.0600533780
2022-05-10,1798.1928624990,0.0124875157
2022-05-11,1747.6573224835,-0.0281035150
2022-05-12,1760.4934705569,0.0073447740
2022-05-13,1865.8612693499,0.0598512863
2022-05-16,1812.3844139674,-0.0286606814
2022-05-17,1870.8468933841,0.0322572182
2022-05-18,1773.9253424778,-0.0518062441
2022-05-19,1780.8943356966,0.0039285719
2022-05-20,1782.5448158117,0.0009267704
2022-05-23,1805.4647165743,0.0128579661
2022-05-24,1748.0838741878,-0.0317817578
2022-05-25,1785.5037562783,0.0214062281
2022-05-26,1836.2480144405,0.0284201352
2022-05-27,1916.6262632978,0.0437730896
2022-05-31,1893.7590811649,-0.0119309552
2022-06-01,1876.1892109014,-0.0092777748
2022-06-02,1948.4672661496,0.0385238625
2022-06-03,1895.3687588711,-0.0272514238
2022-06-06,1903.5737722923,0.0043289800
2022-06-07,1926.8641125626,0.0122350605
2022-06-08,1898.8848093535,-0.0145206416
2022-06-09,1842.0209394129,-0.0299459291
2022-06-10,1766.8512529467,-0.0408082693
2022-06-13,1666.6349504622,-0.0567202827
2022-06-14,1675.3555955294,0.0052324866
2022-06-15,1720.2237813585,0.0267812911
2022-06-16,1631.3887986936,-0.0516415269
2022-06-17,1655.5865660271,0.0148326183
2022-06-21,1696.7112708463,0.0248399604
